,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
28,Zapolyarnyy,40,RU,1562530595,87,69.43,30.82,7.0,6.7
29,Ponta do Sol,0,BR,1562530595,54,-20.63,-46.0,12.39,2.17
30,Mahibadhoo,0,MV,1562530596,76,3.78,72.97,28.56,5.13
31,Vaini,50,IN,1562530596,86,15.34,74.49,25.86,4.61
32,Ixtapa,40,MX,1562530596,52,20.71,-105.21,33.33,5.1
33,Souillac,0,FR,1562530596,64,45.6,-0.6,25.0,3.6
34,Newport,1,US,1562530425,50,41.49,-71.31,27.22,3.6
35,Carnarvon,29,ZA,1562530596,73,-30.97,22.13,7.1,3.85
36,Pevek,99,RU,1562530597,73,69.7,170.27,7.2,8.83
37,Hermanus,36,ZA,1562530597,74,-34.42,19.24,15.0,1.79
38,Manavalakurichi,40,IN,1562530597,88,8.13,77.3,28.0,4.68
39,Lasa,0,CY,1562530597,83,34.92,32.53,27.0,1.5
40,Kaitangata,100,NZ,1562530598,61,-46.28,169.85,5.56,6.71
41,Kavieng,23,PG,1562530598,71,-2.57,150.8,28.45,3.32
42,New Norfolk,0,AU,1562530598,86,-42.78,147.06,6.11,3.1
43,Iracoubo,65,GF,1562530598,81,5.48,-53.21,26.58,2.31
44,Chuy,67,UY,1562530598,65,-33.69,-53.46,7.6,2.06
45,Tuatapere,100,NZ,1562530599,79,-46.13,167.69,6.11,4.47
46,Malanje,88,AO,1562530599,32,-9.54,16.35,17.5,1.29
47,Mugur-Aksy,98,RU,1562530599,77,50.38,90.44,7.32,1.9
48,Busselton,40,AU,1562530599,77,-33.64,115.35,11.67,6.74
49,Hithadhoo,3,MV,1562530599,79,-0.6,73.08,28.63,7.21
50,Deputatskiy,1,RU,1562530610,64,69.3,139.9,13.29,1.94
51,Biak,74,ID,1562530610,97,-0.91,122.88,15.47,1.81
52,Rio Grande,0,BR,1562530578,41,-32.03,-52.1,14.0,0.66
53,Katsuura,40,JP,1562530610,88,33.93,134.5,22.0,1.5
54,Khatanga,98,RU,1562530610,82,71.98,102.47,8.43,7.61
55,Ulaangom,100,MN,1562530611,42,49.98,92.07,18.3,2.48
56,Saint-Philippe,1,CA,1562530611,31,45.36,-73.48,26.11,2.1
57,Concarneau,0,FR,1562530611,72,47.88,-3.92,22.0,4.1
58,East London,7,ZA,1562530594,74,-33.02,27.91,10.12,3.85
59,Ust-Tsilma,0,RU,1562530611,72,65.44,52.15,9.58,3.18
60,Muros,40,ES,1562530612,88,42.77,-9.06,21.11,4.1
61,Puerto Ayora,40,EC,1562530612,61,-0.74,-90.35,28.0,2.6
62,Atar,17,MR,1562530612,15,20.52,-13.05,37.56,3.45
63,Kapaa,1,US,1562530612,69,22.08,-159.32,28.0,5.7
64,Hilo,75,US,1562530612,51,19.71,-155.08,28.0,6.82
65,Bambous Virieux,75,MU,1562530613,83,-20.34,57.76,22.0,2.68
66,Kendari,56,ID,1562530613,88,-3.99,122.52,21.32,1.15
67,Jamestown,0,AU,1562530511,89,-33.21,138.6,6.63,1.17
68,Mataura,100,NZ,1562530613,79,-46.19,168.86,6.11,4.47
69,Moyale,69,ET,1562530613,73,3.52,39.05,21.44,4.12
70,Faanui,44,PF,1562530614,83,-16.48,-151.75,26.02,6.22
71,Mogadishu,80,SO,1562530614,86,2.04,45.34,24.62,5.53
72,Punta Arenas,75,CL,1562530614,93,-53.16,-70.91,6.0,3.6
73,Black River,20,JM,1562530614,62,18.03,-77.85,32.0,6.7
74,Laguna,40,BZ,1562530532,74,16.17,-88.94,30.0,4.1
75,Oiso,75,JP,1562530615,77,35.32,139.28,20.0,7.7
76,College,90,US,1562530615,56,64.86,-147.8,21.0,2.6
77,Marystown,0,CA,1562530615,60,47.17,-55.16,17.97,6.9
78,Penticton,75,CA,1562530615,41,49.49,-119.59,24.0,3.1
79,Aklavik,75,CA,1562530615,76,68.22,-135.01,11.0,2.6
80,Rochegda,100,RU,1562530616,95,62.67,43.41,13.7,1.72
81,Klyuchi,0,RU,1562530616,60,52.25,79.17,16.04,2.27
82,Meulaboh,100,ID,1562530616,74,4.14,96.13,27.8,2.8
83,Bethel,1,US,1562530476,60,60.79,-161.76,24.0,5.7
84,Tual,91,ID,1562530617,81,-5.67,132.75,25.74,9.38
85,Beringovskiy,75,RU,1562530617,68,63.05,179.32,14.5,1.31
86,Vestmannaeyjar,0,IS,1562530617,75,63.44,-20.27,12.79,8.42
87,Linxia,47,CN,1562530617,96,35.6,103.21,8.91,0.41
88,Wukari,19,NG,1562530617,86,7.87,9.78,24.02,5.28
89,Butwal,100,NP,1562530618,92,27.7,83.45,21.71,0.78
90,Bonavista,69,CA,1562530618,68,48.65,-53.11,13.93,2.6
91,Martil,0,MA,1562530618,49,35.62,-5.28,23.0,8.2
92,Georgetown,40,GY,1562530458,66,6.8,-58.16,32.0,5.1
93,Ahipara,0,NZ,1562530619,70,-35.17,173.16,13.48,8.27
94,Saint Anthony,1,US,1562530620,24,43.97,-111.68,28.0,7.2
95,Severo-Kurilsk,100,RU,1562530620,99,50.68,156.12,6.05,2.53
96,Kodiak,20,US,1562530621,48,39.95,-94.76,31.11,2.1
97,Port Elizabeth,90,US,1562530621,94,39.31,-74.98,30.56,1.5
98,Caernarfon,98,GB,1562530622,59,53.14,-4.27,16.0,3.6
99,Ouesso,96,CG,1562530622,98,1.61,16.05,21.11,1.18
100,Guerrero Negro,0,MX,1562530632,81,27.97,-114.04,18.39,4.64
101,Mahenge,68,TZ,1562530507,70,-8.68,36.72,21.08,0.81
102,Alta Floresta,0,BR,1562530633,33,-9.87,-56.08,32.0,2.6
103,Plouzane,0,FR,1562530633,82,48.38,-4.62,18.0,3.6
104,Erzin,40,TR,1562530633,88,36.95,36.2,27.22,3.1
105,Noumea,0,NC,1562530445,77,-22.28,166.46,15.0,9.11
106,Asosa,100,ET,1562530634,86,10.07,34.53,19.07,2.41
107,Ribeira Grande,75,PT,1562530634,94,38.52,-28.7,22.0,4.1
108,Cherskiy,81,RU,1562530634,46,68.75,161.3,19.65,6.47
109,Beaufort,75,MY,1562530634,88,5.36,115.76,28.0,2.51
110,San Patricio,13,PY,1562530634,71,-26.98,-56.83,8.58,1.2
111,Chokurdakh,95,RU,1562530635,84,70.62,147.9,8.54,3.97
112,Thompson,75,CA,1562530370,34,55.74,-97.86,26.0,2.6
113,Kavaratti,6,IN,1562530635,79,10.57,72.64,28.98,8.53
114,Daru,93,PG,1562530635,92,-9.07,143.21,23.89,3.79
115,Saskylakh,90,RU,1562530635,83,71.97,114.09,9.21,0.96
116,Osinniki,11,RU,1562530636,92,53.61,87.33,12.21,0.98
117,Kruisfontein,64,ZA,1562530636,88,-34.0,24.73,9.89,4.13
118,North Vanlaiphai,100,IN,1562530636,99,23.13,93.07,21.63,1.1
119,Les Cayes,78,HT,1562530636,79,18.19,-73.75,28.04,7.14
120,Mahebourg,75,MU,1562530636,83,-20.41,57.7,22.0,2.68
121,Suba,100,CN,1562530637,99,28.73,103.51,15.86,0.92
122,Lorengau,51,PG,1562530637,82,-2.02,147.27,25.47,2.39
123,Turukhansk,100,RU,1562530637,94,65.8,87.96,14.48,2.97
124,Lebu,40,ET,1562530637,82,8.96,38.73,16.0,2.6
125,Gorontalo,11,ID,1562530637,91,0.54,123.06,22.46,1.59
126,Nikolskoye,20,RU,1562530637,59,59.7,30.79,16.0,2.0
127,Fuyang,0,CN,1562530638,94,30.05,119.96,24.0,2.0
128,Tiksi,100,RU,1562530638,73,71.64,128.87,6.44,2.68
129,Torbay,20,CA,1562530638,60,47.66,-52.73,24.0,6.7
130,Dikson,5,RU,1562530638,92,73.51,80.55,0.44,7.18
131,Arraial do Cabo,40,BR,1562530639,56,-22.97,-42.02,21.0,6.7
132,Butaritari,100,KI,1562530639,84,3.07,172.79,26.91,5.66
133,Ancud,90,CL,1562530639,100,-41.87,-73.83,10.0,8.7
134,Mnogovershinnyy,100,RU,1562530639,85,53.94,139.92,16.55,0.53
135,Yellowknife,75,CA,1562530639,66,62.45,-114.38,12.0,4.6
136,Kyzyl-Suu,25,KG,1562530640,59,42.34,78.0,19.23,1.19
137,Rawson,100,AR,1562530640,51,-43.3,-65.11,11.43,4.99
138,Atuona,100,PF,1562530640,76,-9.8,-139.03,26.59,7.42
139,Poum,0,MK,1562530640,56,41.28,20.71,22.0,1.0
140,Vaitape,44,PF,1562530641,83,-16.52,-151.75,26.02,6.22
141,Saldanha,44,PT,1562530641,65,41.42,-6.55,20.16,4.09
142,Sisimiut,100,GL,1562530641,67,66.94,-53.67,7.9,5.06
143,Pisco,90,PE,1562530641,30,-13.71,-76.2,22.0,3.6
144,Ustyuzhna,77,RU,1562530642,90,58.84,36.43,9.83,0.82
145,Alice Springs,0,AU,1562530642,75,-23.7,133.88,7.0,2.6
146,Klaksvik,90,FO,1562530642,93,62.23,-6.59,9.0,4.6
147,Ilulissat,20,GL,1562530642,43,69.22,-51.1,13.0,2.1
148,Tairua,77,NZ,1562530642,78,-37.02,175.85,11.67,5.81
149,Laohekou,100,CN,1562530643,59,32.39,111.67,23.18,3.83
150,Sobolevo,0,RU,1562530653,94,54.43,31.9,10.87,2.62
151,Neuquen,0,AR,1562530653,66,-38.95,-68.06,10.0,0.5
152,Yar-Sale,100,RU,1562530653,51,66.83,70.83,13.07,8.4
153,Rome,0,IT,1562530564,78,41.89,12.48,28.0,5.1
154,Oksfjord,0,NO,1562530654,44,70.24,22.35,16.0,9.3
155,San Andres,86,PH,1562530654,90,13.32,122.68,25.24,2.54
156,Kijang,75,KR,1562530654,73,35.24,129.21,21.0,3.1
157,Jinchang,48,CN,1562530654,66,38.52,102.19,10.86,1.84
158,Timmins,40,CA,1562530655,31,48.48,-81.33,24.0,1.0
159,Pergamino,100,AR,1562530655,53,-33.9,-60.57,12.78,0.89
160,Kalmunai,12,LK,1562530655,76,7.42,81.82,23.9,1.03
161,Isiro,100,CD,1562530656,98,2.77,27.62,20.33,1.19
162,Broken Hill,90,AU,1562530656,81,-31.97,141.45,12.0,5.1
163,Comodoro Rivadavia,0,AR,1562530656,81,-45.87,-67.48,10.0,2.1
164,Loralai,0,PK,1562530656,40,30.37,68.6,25.08,0.74
165,Chapais,1,CA,1562530656,30,49.78,-74.86,21.0,4.6
166,Dawlatabad,0,AF,1562530657,20,36.41,64.91,28.79,6.92
167,Avera,40,US,1562530657,50,33.19,-82.53,35.56,2.6
168,Nome,40,US,1562530657,63,30.04,-94.42,36.11,2.14
169,Yerbogachen,0,RU,1562530657,89,61.28,108.01,14.06,2.37
170,Airai,0,TL,1562530658,85,-8.93,125.41,19.05,2.28
171,Barrow,100,AR,1562530658,68,-38.31,-60.23,9.68,4.82
172,Husavik,0,CA,1562530658,22,50.56,-96.99,28.89,2.24
173,Lompoc,40,US,1562530657,82,34.64,-120.46,22.78,6.2
174,Sao Joao da Barra,20,BR,1562530658,49,-21.64,-41.05,22.0,10.3
175,Lizzano,0,IT,1562530659,45,40.39,17.45,30.0,6.7
176,Kolindros,0,GR,1562530659,51,40.48,22.48,29.0,2.6
177,Majalgaon,2,IN,1562530659,82,19.16,76.21,24.02,5.27
178,Vilhena,0,BR,1562530659,39,-12.74,-60.15,27.0,3.6
179,Coihaique,75,CL,1562530630,87,-45.58,-72.07,6.0,0.42
180,Gallup,1,US,1562530660,22,35.53,-108.74,27.0,3.1
181,San Quintin,100,PH,1562530660,91,17.54,120.52,23.23,1.54
182,Sonqor,0,IR,1562530660,14,34.78,47.6,27.0,4.1
183,Georgiyevka,91,RU,1562530660,96,52.25,40.45,12.6,1.88
184,Faya,0,SA,1562530660,64,18.39,42.45,32.0,2.1
185,Peabiru,0,BR,1562530661,32,-23.91,-52.35,19.0,1.5
186,Flin Flon,75,CA,1562530661,64,54.77,-101.88,22.0,1.0
187,Kaeo,11,NZ,1562530661,95,-35.1,173.78,8.33,0.89
188,Penzance,20,GB,1562530662,72,50.12,-5.53,18.0,2.1
189,Tefe,75,BR,1562530662,78,-3.35,-64.71,25.0,2.6
190,Luba,100,PH,1562530662,91,17.32,120.7,23.23,1.54
191,Shanhetun,30,CN,1562530662,87,44.7,127.2,20.52,1.47
192,Canmore,75,CA,1562530662,62,51.09,-115.35,17.78,0.45
193,Pangody,100,RU,1562530663,55,65.85,74.49,14.27,9.63
194,Vostok,26,RU,1562530663,93,46.45,135.83,19.45,0.5
195,Agadir,0,MA,1562530663,77,30.42,-9.58,20.0,5.7
196,Axim,34,GH,1562530663,86,4.87,-2.24,24.81,7.39
197,Anloga,40,GH,1562530568,88,5.79,0.9,26.0,7.2
198,Codrington,90,AU,1562530664,93,-28.95,153.24,14.0,0.91
199,Polovinnoye,44,RU,1562530664,93,54.79,65.99,14.13,6.6
200,Tuktoyaktuk,90,CA,1562530674,81,69.44,-133.03,6.0,3.6
201,Waddan,0,LY,1562530674,24,29.16,16.14,28.91,4.57
202,Nemuro,89,JP,1562530448,94,43.32,145.57,10.89,4.13
203,Ostrovnoy,47,RU,1562530675,91,68.05,39.51,4.58,9.11
204,Srednekolymsk,27,RU,1562530675,46,67.46,153.71,20.01,3.97
205,Mirnyy,100,RU,1562530675,93,56.57,36.46,11.41,1.48
206,Matongo,100,BI,1562530675,92,-3.07,29.61,14.44,0.57
207,Skjervoy,0,NO,1562530675,44,70.03,20.97,16.0,9.3
208,Vardo,1,US,1562530676,65,39.62,-77.74,30.56,5.1
209,Constitucion,75,MX,1562530676,30,23.99,-104.67,27.22,2.1
210,Krasnoufimsk,54,RU,1562530676,94,56.6,57.77,11.1,4.35
211,Wilmington,40,US,1562530522,62,39.75,-75.55,30.56,1.5
212,Vila,0,IT,1562530676,65,45.18,8.4,28.0,2.1
213,Cayenne,0,GF,1562530677,62,4.94,-52.33,30.0,5.1
214,Matara,100,BI,1562530677,89,-3.48,29.48,11.52,0.86
215,Provideniya,0,RU,1562530677,42,64.42,-173.23,20.0,2.0
216,Datong,100,CN,1562530677,75,40.09,113.3,15.83,2.0
217,Montijo,0,ES,1562530677,41,38.91,-6.62,26.0,7.2
218,Takoradi,65,GH,1562530678,92,4.89,-1.75,23.19,3.18
219,Tiruchchirappalli,20,IN,1562530678,51,10.82,78.68,30.0,5.7
220,Radenci,75,SI,1562530678,93,46.64,16.04,18.0,2.1
221,Paamiut,37,GL,1562530678,75,61.99,-49.67,9.02,3.8
222,Kahului,75,US,1562530678,54,20.89,-156.47,29.0,6.2
223,Upernavik,9,GL,1562530679,64,72.79,-56.15,7.17,4.59
224,Luderitz,0,NA,1562530679,87,-26.65,15.16,14.0,6.7
225,Sioux Lookout,75,CA,1562530679,44,50.1,-91.92,24.0,1.5
226,Todos Santos,90,MX,1562530679,35,23.45,-110.23,36.67,3.1
227,Apata,92,NG,1562530680,95,7.42,3.18,23.63,4.28
228,Hami,0,CN,1562530680,36,42.84,93.51,23.8,6.22
229,Mango,100,CF,1562530680,99,4.65,22.36,20.69,0.74
230,Margate,0,AU,1562530680,86,-43.03,147.26,6.11,3.1
231,Bambanglipuro,82,ID,1562530681,81,-7.95,110.28,24.45,8.48
232,Hambantota,0,LK,1562530681,82,6.12,81.12,28.05,8.34
233,Santa Cruz de Tenerife,75,ES,1562530681,88,28.47,-16.25,21.11,8.7
234,Goderich,8,CA,1562530681,63,43.74,-81.71,26.11,0.45
235,Nhlangano,70,SZ,1562530682,94,-27.11,31.2,9.99,1.1
236,Namatanai,95,PG,1562530682,85,-3.66,152.44,25.84,7.34
237,Riviere-au-Renard,20,CA,1562530683,33,49.0,-64.4,23.0,3.1
238,Selizharovo,37,RU,1562530683,97,56.86,33.45,8.47,1.59
239,Takapau,100,NZ,1562530684,83,-40.02,176.35,8.89,4.96
240,Tessalit,70,ML,1562530684,21,20.2,1.01,34.24,1.95
241,Hasaki,75,JP,1562530684,100,35.73,140.83,18.0,8.2
242,Praxedis Guerrero,75,MX,1562530685,35,31.37,-106.02,31.11,3.1
243,Cabo San Lucas,90,MX,1562530606,35,22.89,-109.91,36.67,3.1
244,Lingao,100,CN,1562530685,66,19.91,109.69,29.71,3.82
245,Lahaina,75,US,1562530686,54,20.87,-156.68,29.0,6.2
246,Yarkovo,0,RU,1562530686,77,54.81,82.6,15.0,3.0
247,Brae,100,GB,1562530686,76,60.4,-1.35,11.0,9.3
248,Praya,20,ID,1562530687,93,-8.71,116.27,19.0,1.0
249,Los Llanos de Aridane,40,ES,1562530687,69,28.66,-17.92,23.0,6.2
250,Longyearbyen,0,NO,1562530697,66,78.22,15.63,13.0,3.1
251,Peniche,20,PT,1562530697,68,39.36,-9.38,20.0,4.6
252,Port Stanley,20,CA,1562530698,61,42.67,-81.22,27.78,2.6
253,Waingapu,6,ID,1562530698,91,-9.65,120.26,18.85,4.42
254,Lagoa,20,PT,1562530698,77,37.14,-8.45,20.0,8.2
255,Myitkyina,100,MM,1562530698,99,25.38,97.4,22.56,0.6
256,Port Hardy,75,CA,1562530699,87,50.7,-127.42,15.0,3.1
257,Dunedin,100,NZ,1562530699,69,-45.87,170.5,6.67,13.41
258,Kenora,5,CA,1562530699,36,49.76,-94.48,25.0,4.1
259,Rota,0,ES,1562530699,77,36.62,-6.36,21.11,7.2
260,Jinxiang,93,CN,1562530699,86,35.07,116.31,20.29,2.48
261,Cerrito,40,CO,1562530699,58,6.84,-72.7,29.0,3.1
262,Sobinka,1,RU,1562530700,87,55.99,40.02,9.47,1.51
263,Oss,90,NL,1562530700,67,51.77,5.51,16.11,2.1
264,Esperance,0,AU,1562530700,87,-33.86,121.89,8.0,4.6
265,Valverde del Camino,0,ES,1562530700,57,37.57,-6.75,23.89,1.79
266,Pustoshka,35,RU,1562530701,97,56.34,29.37,9.27,2.3
267,Moindou,0,NC,1562530701,77,-21.69,165.68,15.0,11.23
268,Sitka,43,US,1562530701,64,37.17,-99.65,28.89,0.89
269,Port Lincoln,0,AU,1562530701,70,-34.72,135.86,14.52,4.86
270,Vredendal,33,ZA,1562530702,87,-31.68,18.49,13.94,1.66
271,Nchelenge,0,ZM,1562530702,44,-9.35,28.74,18.14,4.06
272,Lewistown,90,US,1562530702,61,40.39,-90.15,30.0,5.1
273,Geraldton,75,CA,1562530702,38,49.72,-86.95,24.0,2.6
274,Porto Walter,67,BR,1562530702,57,-8.27,-72.74,23.14,1.8
275,Boguchany,4,RU,1562530703,79,58.38,97.46,13.09,1.4
276,Tilichiki,94,RU,1562530703,72,60.47,166.1,12.59,1.16
277,Qaanaaq,96,GL,1562530508,57,77.48,-69.36,7.07,1.33
278,Victoria,75,BN,1562530703,88,5.28,115.24,28.0,1.44
279,Lavrentiya,15,RU,1562530703,31,65.58,-170.99,22.9,0.82
280,Jackson,1,US,1562530703,21,43.48,-110.76,28.0,4.1
281,Marawi,47,PH,1562530704,95,8.0,124.29,24.44,1.34
282,Bagdarin,100,RU,1562530704,95,54.44,113.59,12.28,0.62
283,Kaseda,75,JP,1562530704,88,31.42,130.32,24.0,3.1
284,Macherla,100,IN,1562530704,71,16.48,79.44,26.04,6.48
285,Rocky Mountain House,79,CA,1562530502,92,52.38,-114.92,15.49,4.26
286,Ginir,100,ET,1562530705,90,7.14,40.71,14.57,2.55
287,Naze,75,NG,1562530705,100,5.43,7.07,22.0,2.9
288,Bereda,40,ES,1562530705,82,43.27,-7.54,18.33,3.1
289,Shu,0,KZ,1562530705,33,43.6,73.76,24.78,5.38
290,Rieti,0,IT,1562530706,69,42.4,12.86,26.67,1.21
291,Narsaq,65,GL,1562530706,23,60.91,-46.05,17.0,16.5
292,Kiunga,100,PG,1562530706,99,-6.12,141.3,22.4,0.42
293,Takhtamygda,27,RU,1562530706,96,54.1,123.57,16.73,0.96
294,Qingyuan,100,CN,1562530706,96,27.62,119.06,19.55,0.52
295,Cuiluan,94,CN,1562530707,91,47.72,128.65,19.29,0.31
296,Melo,69,UY,1562530707,76,-32.37,-54.17,4.83,1.27
297,Bandrele,0,YT,1562530707,83,-12.91,45.19,25.0,4.6
298,Haines Junction,100,CA,1562530707,38,60.75,-137.51,20.54,1.92
299,Beneditinos,40,BR,1562530708,52,-5.46,-42.36,33.0,2.1
300,Hammerfest,0,NO,1562530718,47,70.66,23.68,16.0,13.4
301,Worthington,1,US,1562530493,54,43.62,-95.6,28.0,3.69
302,Port Augusta,0,AU,1562530718,93,-32.49,137.76,5.0,2.6
303,Alugan,12,PH,1562530718,94,12.22,125.48,23.8,1.38
304,Moron,51,HT,1562530719,72,18.56,-74.26,28.65,1.19
305,Tocopilla,70,CL,1562530719,87,-22.09,-70.2,14.74,4.89
306,Makokou,100,GA,1562530719,92,0.56,12.85,20.07,0.95
307,Miyako,56,JP,1562530719,88,33.63,130.94,23.0,2.6
308,Kristinehamn,100,SE,1562530558,93,59.31,14.11,16.0,1.84
309,Chojnow,0,PL,1562530653,48,51.27,15.94,16.0,5.7
310,Mount Gambier,40,AU,1562530720,100,-37.83,140.78,6.0,3.6
311,Ilinskiy,0,RU,1562530720,72,55.62,38.12,16.11,1.97
312,Belyy Yar,0,RU,1562530720,82,53.6,91.39,19.0,3.0
313,Thatta,0,IN,1562530720,66,31.7,74.64,31.0,3.04
314,Chaohu,0,CN,1562530721,83,31.63,117.88,23.0,2.0
315,Bathsheba,40,BB,1562530721,70,13.22,-59.52,30.0,8.2
316,Santa Cruz,26,BR,1562530507,63,-6.22,-36.02,24.76,5.06
317,Salalah,75,OM,1562530721,88,17.01,54.1,28.0,2.1
318,Hamilton,20,CA,1562530696,46,43.26,-79.87,27.22,7.2
319,Vila Velha,40,BR,1562530721,69,-3.71,-38.6,30.0,4.6
320,Trairi,31,BR,1562530569,85,-3.28,-39.27,23.57,1.92
321,Zharkent,23,KZ,1562530722,67,44.17,80.0,11.93,0.3
322,Camden,40,US,1562530492,62,39.94,-75.12,31.0,1.73
323,Ponta Delgada,75,PT,1562530722,83,37.73,-25.67,21.0,2.1
324,Sinnamary,20,GF,1562530723,77,5.38,-52.96,27.39,4.59
325,Kieta,100,PG,1562530723,84,-6.22,155.63,25.15,1.42
326,Port Keats,0,AU,1562530723,47,-14.25,129.55,17.33,4.5
327,Kuching,75,MY,1562530723,94,1.56,110.34,24.0,0.75
328,Mineiros,0,BR,1562530723,41,-17.57,-52.55,15.69,2.87
329,Ngunguru,0,NZ,1562530724,95,-35.62,174.5,8.33,0.89
330,Oktyabrskiy,0,RU,1562530724,72,55.61,37.97,16.11,2.68
331,Mayo,75,CA,1562530724,35,63.59,-135.9,22.0,3.6
332,Nizhniy Mamon,90,RU,1562530724,84,50.19,40.51,16.59,1.59
333,Almaznyy,0,RU,1562530724,60,48.03,40.04,21.0,2.0
334,Russell,40,US,1562530541,43,38.9,-98.86,32.22,2.6
335,Mehamn,0,NO,1562530725,76,71.03,27.85,9.0,4.6
336,Nanakuli,1,US,1562530725,69,21.39,-158.15,30.0,3.1
337,Hofn,100,IS,1562530725,94,64.25,-15.21,3.29,2.2
338,Concordia,0,AR,1562530725,44,-31.4,-58.02,14.0,3.6
339,Hualmay,0,PE,1562530726,85,-11.1,-77.61,17.55,5.41
340,Riverton,1,US,1562530726,13,43.02,-108.38,32.0,6.7
341,Roswell,1,US,1562530726,45,33.39,-104.52,29.0,3.6
342,Iqaluit,75,CA,1562530726,48,63.75,-68.52,17.0,2.1
343,Aksarka,100,RU,1562530727,59,66.56,67.8,11.39,7.15
344,Coffs Harbour,6,AU,1562530727,93,-30.3,153.13,13.0,0.5
345,Trelew,100,AR,1562530727,51,-43.25,-65.31,11.43,4.99
346,Suez,0,EG,1562530727,65,29.97,32.54,24.65,2.71
347,Marzuq,86,YE,1562530727,39,14.4,46.47,28.15,2.49
348,Grande Prairie,90,CA,1562530728,68,55.17,-118.79,18.0,4.6
349,Victor Harbor,75,AU,1562530728,87,-35.55,138.62,10.0,3.1
350,Pundaguitan,61,PH,1562530738,79,6.37,126.17,27.44,4.83
351,Chernyshevsk,0,RU,1562530738,90,52.51,117.01,12.5,1.26
352,Luanda,0,AO,1562530623,87,-8.83,13.24,22.62,4.09
353,Noshiro,41,JP,1562530739,71,40.21,140.05,16.79,1.92
354,Luganville,75,VU,1562530739,83,-15.51,167.18,25.0,3.6
355,Chibombo,2,ZM,1562530739,46,-14.68,28.09,13.38,2.54
356,Yanji,9,CN,1562530739,93,42.89,129.5,13.52,0.74
357,Falmouth,20,GB,1562530739,72,50.16,-5.07,18.0,2.1
358,Hatta,100,IN,1562530740,84,24.13,79.6,26.36,6.79
359,Las Palmas,97,CO,1562530740,84,9.27,-75.33,29.15,2.96
360,Pacific Grove,1,US,1562530740,63,36.62,-121.92,25.0,5.1
361,Maltahohe,0,NA,1562530740,22,-24.83,16.98,7.65,1.83
362,Markova,0,RU,1562530740,100,52.21,104.21,11.11,2.0
363,San Policarpo,3,PH,1562530741,86,12.18,125.51,25.97,2.6
364,Byron Bay,90,AU,1562530741,100,-28.65,153.62,15.0,3.6
365,Aguimes,20,ES,1562530741,69,27.91,-15.45,23.0,9.8
366,Tarime,99,TZ,1562530741,84,-1.35,34.38,19.15,1.57
367,Northam,0,AU,1562530742,87,-31.65,116.67,7.0,0.5
368,Grafton,75,AU,1562530742,100,-29.69,152.93,13.0,0.5
369,Nuziders,75,AT,1562530742,72,47.17,9.8,19.0,1.0
370,Dingle,23,PH,1562530742,88,11.0,122.67,23.59,1.01
371,Nyurba,74,RU,1562530742,96,63.29,118.35,16.67,1.85
372,Oktyabrskoye,0,RU,1562530743,72,56.73,85.44,16.67,4.0
373,Nanning,0,CN,1562530743,88,22.83,108.3,28.0,1.0
374,Mae Hong Son,100,MM,1562530743,99,19.3,97.96,20.86,1.44
